timestep,n_tumour,n_tumour_hypoxic,n_tumour_necrotic,mean_tumour_oxygen,median_tumour_oxygen,mean_tumour_radius,median_tumour_radius,n_tcells,n_tumour_damage_gt100,n_tumour_damage_gt80,n_tumour_damage_gt60,n_tumour_damage_gt40,n_tumour_damage_gt20,n_tumour_damage_gt10,n_tumour_damage_gt0,n_tcells_potency_le90,n_tcells_potency_le80,n_tcells_potency_le70,n_tcells_potency_le60,n_tcells_potency_le50,n_tcells_potency_le40,n_tcells_potency_le30,n_tcells_potency_le20,n_tcells_potency_le10
27600,1768.0,1043.0,0.0,0.19213286322541584,0.17228761452862087,0.3686395177199814,0.36396510915259916,151.0,59.0,92.0,121.0,257.0,304.0,344.0,385.0,17.0,14.0,11.0,9.0,6.0,5.0,5.0,2.0,1.0
28200,1871.0,1142.0,0.0,0.1860770517632438,0.16546625179519103,0.36824508906521025,0.36312595250360585,166.0,82.0,122.0,155.0,318.0,363.0,402.0,449.0,19.0,18.0,14.0,12.0,8.0,6.0,5.0,4.0,1.0
28800,1967.0,1251.0,0.0,0.1803986855779103,0.15874307273764546,0.36850222963482615,0.36346808390413887,184.0,108.0,154.0,198.0,380.0,434.0,472.0,528.0,22.0,19.0,16.0,14.0,12.0,10.0,5.0,5.0,1.0
29400,2069.0,1347.0,0.0,0.1754572880192946,0.15291039511135363,0.3676541450193698,0.3627064161662048,208.0,150.0,209.0,259.0,464.0,524.0,561.0,631.0,30.0,25.0,21.0,17.0,14.0,12.0,6.0,5.0,2.0
30000,2180.0,1437.0,0.0,0.17128398912113416,0.148893403546624,0.3670365443164997,0.36244589495610113,225.0,191.0,258.0,333.0,545.0,597.0,632.0,713.0,33.0,29.0,27.0,22.0,16.0,14.0,8.0,6.0,2.0
30600,2289.0,1535.0,0.0,0.16771941098101528,0.14533119790028712,0.3649804675697538,0.3600444450745353,254.0,243.0,324.0,401.0,636.0,684.0,728.0,826.0,43.0,32.0,29.0,23.0,19.0,15.0,11.0,6.0,4.0
31200,2394.0,1635.0,0.0,0.16486433184365404,0.14102518198931474,0.3628547979421691,0.3579985260566506,276.0,295.0,389.0,473.0,742.0,797.0,839.0,937.0,52.0,42.0,33.0,28.0,21.0,18.0,13.0,6.0,4.0
31800,2509.0,1724.0,0.0,0.16271931481724117,0.1376530321872687,0.3627250947272704,0.3578247394603798,307.0,379.0,484.0,558.0,877.0,935.0,981.0,1076.0,66.0,52.0,43.0,30.0,24.0,20.0,14.0,8.0,5.0
32400,2624.0,1821.0,0.0,0.16078735473442216,0.1355173020256768,0.36106255686048755,0.35634782420829914,337.0,470.0,571.0,645.0,997.0,1062.0,1114.0,1206.0,78.0,65.0,50.0,35.0,26.0,20.0,17.0,10.0,5.0
33000,2715.0,1912.0,0.0,0.15848355947345089,0.132390386958741,0.359681362947867,0.35507684860341027,383.0,539.0,660.0,739.0,1133.0,1225.0,1266.0,1355.0,91.0,76.0,60.0,44.0,29.0,21.0,18.0,11.0,5.0
33600,2779.0,1974.0,0.0,0.15661246081296015,0.13140959327041526,0.35916613102743744,0.35503589352509235,429.0,616.0,763.0,847.0,1296.0,1399.0,1426.0,1501.0,111.0,86.0,66.0,48.0,36.0,23.0,20.0,12.0,5.0
34200,2877.0,2053.0,0.0,0.15663633021908793,0.1304848909456243,0.3586381276730271,0.3542396134795465,471.0,712.0,893.0,972.0,1436.0,1545.0,1564.0,1642.0,134.0,97.0,78.0,56.0,39.0,24.0,20.0,13.0,6.0
34800,2988.0,2122.0,0.0,0.15709416187685113,0.1306264516290708,0.3584196499749073,0.3543343026561409,512.0,836.0,1036.0,1118.0,1566.0,1659.0,1674.0,1759.0,151.0,113.0,92.0,61.0,45.0,27.0,20.0,13.0,6.0
35400,3068.0,2177.0,0.0,0.1575890494359427,0.1314458905619179,0.35859991788235657,0.3552923791138846,549.0,946.0,1140.0,1221.0,1679.0,1770.0,1784.0,1874.0,169.0,127.0,99.0,68.0,49.0,27.0,20.0,15.0,6.0
36000,3132.0,2239.0,0.0,0.15750658597455422,0.13027278614348403,0.35909886717572886,0.35513290692387134,596.0,1033.0,1236.0,1345.0,1817.0,1904.0,1919.0,2026.0,186.0,143.0,105.0,74.0,56.0,31.0,20.0,15.0,6.0
36600,3186.0,2261.0,0.0,0.159275030401647,0.13065972910577073,0.3605202155878365,0.35727947373882574,637.0,1110.0,1344.0,1451.0,1912.0,2024.0,2046.0,2150.0,205.0,156.0,121.0,82.0,59.0,35.0,21.0,16.0,7.0
37200,3280.0,2284.0,0.0,0.16203249336540715,0.13264856897378635,0.3600889590454889,0.3572294947356778,689.0,1195.0,1446.0,1554.0,2055.0,2159.0,2184.0,2281.0,227.0,170.0,128.0,89.0,60.0,37.0,21.0,19.0,8.0
37800,3356.0,2300.0,0.0,0.16581396969240217,0.13508749446853247,0.3605479500787674,0.35814115392596385,734.0,1256.0,1515.0,1631.0,2181.0,2287.0,2312.0,2415.0,254.0,178.0,136.0,94.0,65.0,40.0,21.0,19.0,8.0
38400,3415.0,2322.0,0.0,0.16860403949706015,0.13667152298424456,0.3618472713414836,0.358822303529703,779.0,1346.0,1619.0,1730.0,2296.0,2395.0,2425.0,2528.0,279.0,192.0,145.0,101.0,68.0,42.0,24.0,20.0,8.0
39000,3451.0,2321.0,0.0,0.17126132419902212,0.13954289094176267,0.3636972084227527,0.36101196104616984,840.0,1415.0,1702.0,1824.0,2376.0,2476.0,2498.0,2604.0,310.0,210.0,153.0,104.0,72.0,44.0,26.0,20.0,8.0
39600,3498.0,2320.0,0.0,0.1741099733886122,0.14273787464953763,0.3632953581402964,0.36262854277986745,891.0,1499.0,1783.0,1900.0,2442.0,2549.0,2576.0,2693.0,331.0,230.0,162.0,108.0,80.0,44.0,28.0,20.0,9.0
